id,company_name,website,prior_status,prior_score,prior_category,new_score,recommended_category,outreach_tone,reasoning,suggested_status
"2","Information Systems Solutions, Inc.","","disqualified","5","sales","6","partnership","partner/co-sell pitch","IT Services/Cybersecurity firm with named reachable contact; likely serves defense clients and could refer or resell Sentinel, though employee size and CMMC clarity remain unknown.","qualified"
"3","Information Systems of Maryland, LLC","","disqualified","5","sales","6","partnership","partner/co-sell pitch","Maryland-based IT Services firm with named contact; good fit for defense subcontractor support and potential partner channel despite missing employee count and CMMC level.","qualified"
"6","NTrust Information Systems, LLC","","disqualified","5","sales","6","partnership","warm intro, determine defense client base","Maryland IT services firm with named contact; reasonable partnership potential if they serve defense clients, though size and compliance needs are unconfirmed.","qualified"
"7","N4 Information Systems Inc","http://www.n4-is.com","disqualified","4","sales","6","partnership","partner/co-sell pitch","DC-area IT Services firm with website and named contact; strong geographic fit for defense subcontractors, promising partnership channel despite missing employee and CMMC details.","qualified"
"9","Brefft Information Systems, LLC","","disqualified","5","sales","6","partnership","partner/co-sell pitch","Maryland IT Services firm with named contact; solid fit for defense support and referral potential, though employee count and CMMC level unknown.","qualified"
"10","Open Systems Information LLC","","disqualified","5","sales","7","partnership","partner/co-sell pitch","Cybersecurity/IT Services hybrid in Maryland with named contact; strong org-type fit for defense clients and likely CMMC-aware, good partnership prospect.","qualified"
"11","LINGUAL INFORMATION SYSTEM TECHNOLOGIES, INC.","","disqualified","3","sales","4","relationship_building","soft intro, discover business model","WOSB/EDWOSB designation suggests government focus, but org type is unclear and no defense/tech signals evident; worth exploratory outreach.","qualified"
"12","BRAVURA INFORMATION TECHNOLOGY SYSTEMS INC","","disqualified","3","sales","3","relationship_building","soft intro, discover business model","WOSB designation suggests government contracting interest, but org type is not defense-related and no CMMC/tech signals present.","disqualified"
"13","EXCEL TECHNOLOGY & INFORMATION SYSTEMS LLC","","disqualified","3","sales","3","relationship_building","soft intro, determine relevance","Generic company name with 'Technology & Information Systems' suggests possible fit, but no org type, defense signals, or CMMC context available.","disqualified"
"14","IT-SICS - INFORMATION TECHNOLOGY - SYSTEMS INTEGRATION AND CONSULTING SERVICES LLC","","disqualified","1","sales","2","relationship_building","soft intro only","Systems integration and consulting name is promising but lack of any org type, location, or concrete contact method severely limits confidence.","disqualified"
"15","INFORMATION TECHNOLOGY CORPORATION","","disqualified","2","sales","3","relationship_building","soft intro, discover business model","Generic 'Information Technology Corporation' name with valid contact; government database membership is the only qualification signal, worth light exploration.","disqualified"
"16","SYSTEM 1, INC.","","disqualified","2","sales","2","relationship_building","soft intro only","Generic company name with no org-type clarity or defense signals; government database entry alone insufficient without additional context.","disqualified"
"17","SHAKTHY INC","","disqualified","1","sales","2","relationship_building","soft intro only","Unrecognizable company name with no org-type or defense/tech signals; government contractor status is sole qualification indicator.","disqualified"
"18","DAVIS UNLIMITED INFORMATION TECHNOLOGIES INC","","disqualified","4","sales","5","relationship_building","warm intro, explore defense involvement","8(a)/WOSB/EDWOSB certifications suggest serious government contractor status and growth potential, but org type and CMMC relevance remain unclear.","qualified"
"19","CARTER INFORMATION SOLUTIONS, INC.","","disqualified","3","sales","3","relationship_building","soft intro, discover business model","Generic company name with no org-type signals; government database entry and contact are present but insufficient without clarity on business focus.","disqualified"
"20","INFORMATION SECURITY CONSULTING LLC","","disqualified","4","sales","5","sales","direct compliance inquiry","Security-focused consulting firm with VOSB/SDVOSB designation; name and certifications suggest CMMC relevance and possible direct buyer potential.","qualified"
"21","QUESTTECH SYSTEMS LLC","","disqualified","2","sales","2","relationship_building","soft intro only","Generic company name with no org-type or defense signals; government database entry alone insufficient to justify higher interest.","disqualified"
"22","DIVERSE SYSTEMS GROUP, LLC","","disqualified","3","sales","2","relationship_building","soft intro only","Generic 'Diverse Systems Group' name with no org-type clarity or defense/tech signals; limited qualification beyond contractor status.","disqualified"
"23","SYNERGY SYSTEMS & SERVICES, INC","","disqualified","2","sales","2","relationship_building","soft intro only","Generic company name with no org-type or defense/tech signals; government contractor registration alone insufficient for higher score.","disqualified"
"24","BITSTORM SYSTEMS, LLC","","disqualified","2","sales","2","relationship_building","soft intro only","Generic company name with no org-type or defense/tech signals; contractor status is the only positive qualification signal.","disqualified"
"25","A-TECH SYSTEMS, INC.","","disqualified","1","sales","1","relationship_building","soft intro only","Generic 'A-TECH Systems' name with no org-type, defense, or tech signals; minimal qualification signals beyond government database entry.","disqualified"
"26","AIMSTAR INFORMATION SOLUTIONS, INC","","disqualified","2","sales","2","relationship_building","soft intro only","Generic 'Aimstar Information Solutions' name with no clear org type or defense signals; government contractor status alone is insufficient.","disqualified"
"27","APPLIED INFORMATION TECHNOLOGY, LLC","","disqualified","2","sales","2","relationship_building","soft intro only","Generic 'Applied Information Technology' name with no org-type clarity or defense/tech signals; contractor status provides minimal qualification.","disqualified"
"28","SQN SYSTEMS CORP","","disqualified","3","sales","4","relationship_building","warm intro, explore defense contracts","8(a)/VOSB/SDVOSB certifications indicate serious government contractor, but org type is vague and no tech/defense signals clarify CMMC relevance.","qualified"
"29","ALPHATECH SYSTEMS AND CONSULTING INC.","","disqualified","2","sales","2","relationship_building","soft intro only","Generic 'AlphaTech Systems and Consulting' name with no org-type clarity or defense signals; government contractor status is the only positive signal.","disqualified"
"30","AMERICAN INFORMATICS SOLUTIONS LLC","","disqualified","3","sales","6","sales","direct compliance pitch","VOSB designation + named contact with email suggests a small defense-eligible business; missing CMMC/employee data is acceptable given government registration baseline.","qualified"
"31","NEWTECH E-SYSTEMS INC","","disqualified","3","sales","5","relationship_building","warm intro, no hard ask","Named contact and government registration are positive, but company name lacks defense indicators and no org-type data limits confidence.","qualified"
"32","PROGRESSIVE TECHNOLOGY FEDERAL SYSTEMS INC","","disqualified","3","sales","6","sales","direct compliance pitch","Company name explicitly signals federal/defense focus ('Federal Systems'); named contact + government registration support direct outreach despite missing CMMC details.","qualified"
"33","GLOBAL COMMERCE & INFORMATION, INC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Generic company name and no org-type data obscure defense relevance; contact alone is insufficient to justify higher category without clearer signals.","qualified"
"34","XL STRATEGIC INFORMATION LLC","","disqualified","2","sales","5","relationship_building","warm intro, no hard ask","WOSB designation indicates small business status, but company name and org type are too generic to confidently position Sentinel; soft touch appropriate.","qualified"
"35","ROLLOUT SYSTEMS LLC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","No org-type data and generic 'Systems' name offer minimal defense signals; government registration alone insufficient without contact title or clearer indicators.","qualified"
"36","CLOUDNET-SYSTEMS LLC","","disqualified","3","sales","6","sales","direct compliance pitch","8(a) small-business program status + 'CLOUDNET-SYSTEMS' suggests IT/infrastructure role; direct pitch to named contact appropriate given gov-contractor baseline.","qualified"
"37","INTELLITREX SYSTEMS CORP","","disqualified","3","sales","7","sales","direct compliance pitch","VOSB/SDVOSB veteran-owned status + 'INTELLITREX SYSTEMS' name indicate strong small-business defense contractor fit; direct sales outreach warranted.","qualified"
"38","SYSTEMS INTEGRATION & DEVELOPMENT INC","","disqualified","2","sales","5","relationship_building","warm intro, no hard ask","Company name 'Systems Integration & Development' has defense appeal but lacks org-type confirmation; soft touch better matches ambiguity.","qualified"
"39","DATAFY SYSTEMS LIMITED LIABILITY COMPANY","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Generic data-systems company with no org type or defense signals beyond government registration; early-stage relationship approach only.","qualified"
"40","TRITECH ENTERPRISE SYSTEMS, INC","","disqualified","3","sales","6","sales","direct compliance pitch","HUBZone small-business status + 'ENTERPRISE SYSTEMS' name + named contact support direct pitch; government contractor baseline well-established.","qualified"
"41","GLOBAL NETWORK SYSTEMS OF MARYLAND, INC.","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Generic name without org-type or defense signals; Maryland location hints possible federal ties but insufficient to justify sales-level outreach without more data.","qualified"
"42","TRETEK SYSTEMS, LLC","","disqualified","3","sales","7","sales","direct compliance pitch","VOSB/SDVOSB veteran-owned status + 'SYSTEMS' name suggest IT/compliance relevance; named contact supports direct sales pitch.","qualified"
"43","A & T SYSTEMS, INC.","","disqualified","4","sales","5","relationship_building","warm intro, no hard ask","Generic 'A & T SYSTEMS' name with no org type or other signals; contact alone insufficient to position as direct sales opportunity.","qualified"
"44","INFORMATION BUSINESS SOLUTIONS, INC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Generic company name and no org-type data obscure fit; 'Information Business Solutions' could span many sectors unrelated to defense.","qualified"
"45","ECLIPSE TECHNICAL SYSTEMS LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","No org-type data and generic 'Eclipse Technical Systems' name offer weak defense signals; soft relationship-building appropriate.","qualified"
"46","E-VOLVE TECHNOLOGY SYSTEMS, INC","","disqualified","3","sales","5","relationship_building","warm intro, no hard ask","WOSB status indicates small business but company name is generic; no org-type or defense indicators justify only soft-touch outreach.","qualified"
"47","AURORA TECHNICAL SYSTEMS, LLC","","disqualified","3","sales","6","sales","direct compliance pitch","8(a) small-business program status + 'AURORA TECHNICAL SYSTEMS' + named contact support direct pitch to government contractor.","qualified"
"48","ADVANCED VISION SYSTEMS INC.","","disqualified","3","sales","5","relationship_building","warm intro, no hard ask","WOSB status positive but 'Advanced Vision Systems' lacks explicit defense tie; insufficient signals for direct sales without more context.","qualified"
"49","BOLD INFORMATION TECHNOLOGY STAFFING AND RECRUITING, LLC","","disqualified","2","sales","3","relationship_building","warm intro, no hard ask","Staffing/recruiting focus suggests lower likelihood of being CMMC-compliance buyer; soft relationship-building only despite government registration.","disqualified"
"50","THE H-KORP SYSTEMS LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Generic 'H-KORP SYSTEMS' with no org type; insufficient defense signals beyond government registration.","qualified"
